Cattle_ID,age,weight,Breed,Disease_Status,Body_Condition,feed,milk_output,Lactation_Stage,health_status,temperature,humidity,thi,feed_weight_ratio,feed_per_weight,temp_humidity,thi_squared,feed_thi_interaction,age_weight_ratio
COW00013,94,369.2,Ayrshire,Healthy,2.1,27.3,19.46,Late,0,33.309267214746754,95.0,61.011217625806815,0.07394366197183098,0.07394366197183098,3164.3803854009416,3722.36867618356,1665.606241184526,0.25460455037919827
COW00014,89,534.7,Ayrshire,Foot and Mouth,3.0,20.6,20.81,Mid,1,43.226836653943536,72.51038517857852,71.88391961572894,0.03852627641668225,0.03852627641668225,3134.394575828942,5167.29789932058,1480.8087440840163,0.16644847578081165
COW00015,96,537.0,Holstein,Healthy,3.4,23.1,22.6,Early,0,42.0,52.01802002915677,64.35697352804726,0.043016759776536316,0.043016759776536316,2184.7568412245846,4141.820041689776,1486.646088497892,0.1787709497206704
COW00016,67,717.7,Guernsey,Healthy,3.1,17.5,23.68,Early,0,52.0,98.0,94.84800000000001,0.024383447122753237,0.024383447122753237,5096.0,8996.143104000002,1659.8400000000001,0.09335376898425525
COW00017,25,433.4,Jersey,Healthy,2.4,17.5,16.18,Late,0,31.906393287954057,45.27396492273613,49.850952986787796,0.04037840332256576,0.04037840332256576,1444.5289305298554,2485.117513690927,872.3916772687865,0.05768343331795109
COW00018,102,518.7,Brown Swiss,Healthy,2.6,25.7,19.55,Mid,0,23.924085213923092,91.10661568318045,44.216339884326004,0.049546944283786386,0.049546944283786386,2179.6424371565513,1955.0847127662385,1136.3599350271784,0.19664545980335452
COW00019,60,686.5,Ayrshire,Healthy,2.1,16.0,22.5,Late,0,22.36654934815534,72.84494747148536,40.09646816647799,0.023306627822286964,0.023306627822286964,1629.2901123847607,1607.7267594253829,641.5434906636478,0.08739985433357611
COW00020,66,586.0,Ayrshire,Foot and Mouth,2.3,26.0,22.75,Mid,1,32.0,98.0,59.248,0.04436860068259386,0.04436860068259386,3136.0,3510.325504,1540.4479999999999,0.11262798634812286
COW00021,52,595.1,Holstein,Healthy,2.8,21.2,21.97,Mid,0,33.36884303597435,48.835872892531285,52.358674503011684,0.03562426482944043,0.03562426482944043,1629.5965770756711,2741.430795712326,1110.0038994638476,0.08738027222315577
COW00022,31,559.2,Jersey,Healthy,4.5,26.1,21.24,Mid,0,26.168476105146276,72.30626461315521,45.84412635764003,0.04667381974248927,0.04667381974248927,1892.1447577817357,2101.683921495265,1196.5316979344047,0.05543633762517882
COW00023,112,576.4,Ayrshire,Healthy,3.6,20.9,17.79,Late,0,33.07399415139791,93.71811028243393,60.36010975406069,0.03625954198473282,0.03625954198473282,3099.632231361284,3643.342849522252,1261.5262938598682,0.19430950728660654
COW00024,96,612.2,Ayrshire,Mastitis,3.3,29.2,24.08,Late,1,27.912689459906105,95.0,51.567206554835685,0.0476968311009474,0.0476968311009474,2651.70549869108,2659.1767918690884,1505.762431401202,0.15681149950996406
COW00025,81,485.2,Holstein,Healthy,4.0,15.0,21.03,Mid,0,48.906281512701995,58.0,75.53866848752875,0.030915086562242376,0.030915086562242376,2836.5643277367158,5706.09043686877,1133.0800273129312,0.16694146743610883
COW00026,55,620.2,Ayrshire,Healthy,3.6,30.1,28.71,Early,0,46.29466992678356,88.3831135281409,81.62523827224177,0.04853273137697517,0.04853273137697517,4091.6670678867217,6662.6795230002435,2456.9196719944775,0.08868107062237987
COW00027,100,440.2,Brown Swiss,Healthy,2.4,18.8,19.31,Early,0,30.327799326403234,59.06565558981865,50.070098554293374,0.04270786006360745,0.04270786006360745,1791.3313498104674,2507.0147692366513,941.3178528207154,0.2271694684234439
COW00028,70,576.3,Brown Swiss,Healthy,2.7,14.8,22.87,Mid,0,47.02298096970638,58.943468647649425,73.24750133557262,0.025681068887732087,0.025681068887732087,2771.6976045069036,5365.196451904713,1084.0630197664748,0.12146451500954365
COW00029,59,564.3,Holstein,Ketosis,2.7,24.1,28.82,Late,1,29.254880404005064,95.0,53.91604070700886,0.04270777954988482,0.04270777954988482,2779.213638380481,2906.9394455198367,1299.3765810389136,0.10455431508063087
COW00030,60,500.7,Guernsey,Healthy,3.8,18.0,21.49,Late,0,18.19702881289347,89.08403115951671,34.340169381128625,0.035949670461354104,0.035949670461354104,1621.0646817784254,1179.247233124604,618.1230488603153,0.11983223487118035
COW00031,36,548.2,Guernsey,Healthy,3.4,22.3,20.64,Mid,0,29.09552415509363,83.40581894889422,51.933341594463315,0.040678584458226925,0.040678584458226925,2426.736019902918,2697.0719691672134,1158.1135175565319,0.06566946369937979
COW00032,21,500.2,Guernsey,Healthy,3.2,28.4,16.99,Mid,0,35.99746631216961,55.27805206131541,57.13663172170186,0.05677728908436625,0.05677728908436625,1989.869816879559,3264.5946845013873,1622.6803408963328,0.04198320671731308
COW00033,71,464.3,Guernsey,Healthy,3.7,28.2,24.55,Mid,0,42.0,46.717382489881054,62.89399756720717,0.06073659272022399,0.06073659272022399,1962.1300645750043,3955.6549299838616,1773.6107313952423,0.1529183717424079
COW00034,107,521.7,Ayrshire,Healthy,4.9,24.8,18.2,Late,0,31.208474660033723,62.80737573255076,51.923741562664944,0.047536898600728385,0.047536898600728385,1960.1223940125274,2696.074937866419,1287.7087907540906,0.2050987157370136
COW00035,18,461.7,Ayrshire,Healthy,2.9,31.6,19.89,Mid,0,49.0,65.79815809706665,78.36616270158507,0.06844271171756552,0.06844271171756552,3224.109746756266,6141.255456571303,2476.370741370088,0.03898635477582846
COW00036,104,575.8,Guernsey,Healthy,3.6,22.3,20.64,Early,0,38.97179099151263,60.62793890437884,62.47480322325604,0.038728725251823554,0.038728725251823554,2362.779363227649,3903.1010377845632,1393.1881118786098,0.1806182702327197
COW00037,101,458.0,Ayrshire,Foot and Mouth,3.4,14.7,20.0,Mid,1,42.92639026474047,84.77982382576342,74.92573562208906,0.03209606986899563,0.03209606986899563,3639.2918041206626,5613.865858511186,1101.408313644709,0.2205240174672489
COW00038,41,607.0,Guernsey,Foot and Mouth,4.1,28.7,18.16,Mid,1,41.72662586835912,46.78888920275314,62.56712539508472,0.04728171334431631,0.04728171334431631,1952.342474559388,3914.6451802042557,1795.6764988389316,0.06754530477759473
COW00039,80,455.5,Guernsey,Healthy,4.2,18.0,24.02,Mid,0,21.649743526936124,85.5670696513185,39.923187914784286,0.03951701427003293,0.03951701427003293,1852.5051123025253,1593.860933279178,718.6173824661172,0.1756311745334797
COW00040,29,504.7,Brown Swiss,Ketosis,4.2,17.2,19.26,Late,1,33.602705413987636,58.73318972002212,54.56052573336443,0.03407965127798692,0.03407965127798692,1973.59407218575,2976.850968301122,938.4410426138681,0.0574598771547454
COW00041,93,500.0,Guernsey,Ketosis,2.6,15.3,18.08,Late,1,22.182148446590777,94.42522969121599,41.49403030287736,0.030600000000000002,0.030600000000000002,2094.554462113984,1721.754550776105,634.8586636340236,0.186
COW00042,87,656.0,Holstein,Healthy,3.3,19.9,26.18,Early,0,35.87704092915069,98.0,66.14913285388823,0.030335365853658536,0.030335365853658536,3515.9500110567674,4375.707777321356,1316.3677437923757,0.1326219512195122
COW00043,50,576.4,Brown Swiss,Healthy,4.4,19.9,20.41,Early,0,38.828583015928736,44.79761934083743,58.40629004257921,0.034524635669673835,0.034524635669673835,1739.4280814916808,3411.2947165378873,1162.2851718473262,0.08674531575294935
COW00044,19,533.1,Brown Swiss,Healthy,3.1,19.4,20.57,Mid,0,21.435581358200466,83.23927910565469,39.40483229001827,0.036390921027949726,0.036390921027949726,1784.282339467217,1552.7408078044664,764.4537464263544,0.03564059275933221
COW00045,116,589.9,Ayrshire,Healthy,5.0,24.7,23.73,Early,0,19.20278570785233,84.88779697212,35.83920754696955,0.04187150364468554,0.04187150364468554,1630.082174467296,1284.4487975947588,885.2284264101478,0.19664349889811833
COW00046,60,381.4,Holstein,Healthy,3.1,27.5,20.76,Mid,0,42.0,44.797294491107714,62.36405327954573,0.07210277923439959,0.07210277923439959,1881.486368626524,3889.2751414540185,1715.0114651875076,0.15731515469323545
COW00047,108,546.5,Guernsey,Healthy,3.5,30.9,15.87,Early,0,48.41914255335598,59.632621577078304,75.42182058529437,0.05654162854528819,0.05654162854528819,2887.360404970886,5688.451020400334,2330.534256085596,0.19762122598353157
COW00048,85,709.8,Holstein,Ketosis,3.4,15.7,25.44,Early,1,25.9926666215336,95.0,48.2071665876838,0.02211890673429135,0.02211890673429135,2469.303329045692,2323.9309104126974,756.8525154266356,0.11975204282896591
COW00049,96,560.6,Ayrshire,Healthy,3.3,16.7,21.55,Late,0,45.92395975478097,67.33094254414236,74.36454703395492,0.029789511237959327,0.029789511237959327,3092.1034956486633,5530.085855565294,1241.887935467047,0.17124509454156261
COW00050,94,555.4,Ayrshire,Mastitis,4.5,24.6,20.94,Early,1,42.0,50.80715130488628,64.02277376014862,0.04429240187252431,0.04429240187252431,2133.9003548052237,4098.915559943175,1574.9602344996563,0.16924738926899532
COW00051,33,593.9,Jersey,Healthy,2.5,15.8,20.95,Late,0,34.73532148428496,69.61013669047863,58.343702269087,0.026603805354436776,0.026603805354436776,2417.930476508795,3403.987594463867,921.8304958515746,0.05556490991749453
COW00052,51,621.6,Ayrshire,Healthy,3.7,20.7,18.21,Mid,0,19.34813722077617,92.32044100931799,36.44665188058771,0.0333011583011583,0.0333011583011583,1786.228560930856,1328.3584333047475,754.4456939281655,0.08204633204633205
COW00053,62,390.2,Brown Swiss,Foot and Mouth,3.9,25.2,20.2,Mid,1,29.540746023078793,95.0,54.41630554038789,0.0645822655048693,0.0645822655048693,2806.3708721924854,2961.1343086648494,1371.2908996177748,0.15889287544848796
COW00054,65,415.4,Ayrshire,Healthy,4.6,28.0,16.66,Early,0,32.583714357172624,95.0,59.74150012505209,0.06740491092922485,0.06740491092922485,3095.4528639313994,3569.046837191599,1672.7620035014586,0.15647568608570053
COW00055,16,566.8,Guernsey,Healthy,3.8,17.9,19.24,Early,0,21.266627208156283,90.1769694433412,39.605418085812275,0.031580804516584335,0.031580804516584335,1917.759991912838,1568.589141751986,708.9369837360397,0.028228652081863093
COW00056,71,492.8,Holstein,Healthy,4.9,26.0,21.46,Mid,0,45.10821127511046,76.90883512400819,76.10389659919517,0.052759740259740256,0.052759740259740256,3469.219983696398,5791.803077580989,1978.7013115790744,0.14407467532467533
COW00057,28,655.0,Jersey,Mastitis,4.6,25.6,24.39,Late,1,28.60120472279245,63.966159496591985,48.364929041652935,0.039083969465648856,0.039083969465648856,1829.5092230928217,2339.1663612041234,1238.1421834663151,0.042748091603053436
COW00058,92,524.8,Brown Swiss,Healthy,3.0,29.5,19.38,Late,0,42.0,56.10009682198893,65.48362672286895,0.05621189024390245,0.05621189024390245,2356.204066523535,4288.105368780036,1931.766988324634,0.1753048780487805
COW00059,85,395.2,Jersey,Healthy,4.6,19.6,23.56,Early,0,38.1410905096772,54.45803337225286,59.84180340043852,0.04959514170040486,0.04959514170040486,2077.088779830118,3581.0414342167355,1172.8993466485952,0.21508097165991905
COW00060,111,448.6,Holstein,Healthy,4.9,27.5,22.47,Early,0,35.95924041310565,95.0,65.64867072293488,0.06130182790905037,0.06130182790905037,3416.1278392450363,4309.747967688328,1805.3384448807092,0.24743646901471242
COW00061,92,330.0,Ayrshire,Healthy,2.8,27.5,18.01,Early,0,31.694412962448578,57.72944012254678,51.73949814566158,0.08333333333333333,0.08333333333333333,1829.7007153349455,2676.975668364918,1422.8361990056933,0.2787878787878788
COW00062,51,531.3,Ayrshire,Healthy,3.8,18.3,18.38,Mid,0,24.59671791499305,67.44805164531151,42.95486189742569,0.03444381705251271,0.03444381705251271,1659.00070023561,1845.120160626913,786.0739727228901,0.09599096555618296
COW00063,116,534.9,Brown Swiss,Healthy,2.8,25.2,17.36,Early,0,18.0,90.74573432652888,34.06684643575504,0.04711160964666293,0.04711160964666293,1633.4232178775198,1160.5500260773158,858.4845301810269,0.21686296504019445
COW00064,56,516.0,Jersey,Healthy,3.9,26.2,21.78,Early,0,37.10452769339332,95.0,67.65292346343831,0.05077519379844961,0.05077519379844961,3524.9301308723657,4576.918053149842,1772.5065947420837,0.10852713178294573
COW00065,47,636.3,Holstein,Healthy,2.3,18.9,20.45,Late,0,30.090818237769273,75.9861783569145,52.395507722026046,0.0297029702970297,0.0297029702970297,2286.4862815206316,2745.289229448891,990.2750959462923,0.07386452931007387
COW00066,109,645.9,Ayrshire,Healthy,4.2,22.1,25.53,Late,0,26.27196447749317,67.20017231641063,45.39555216821301,0.0342158228827992,0.0342158228827992,1765.48053997816,2060.756156656949,1003.2417029175075,0.16875677349434898
COW00067,52,536.4,Jersey,Mastitis,3.3,21.8,19.55,Mid,1,52.0,73.102613820254,85.48658279641552,0.040641312453392996,0.040641312453392996,3801.3359186532084,7307.955838208406,1863.6075049618585,0.09694258016405667
COW00068,20,379.2,Holstein,Healthy,3.8,27.9,15.7,Early,0,42.34128173744027,80.94656130004628,72.89053213956794,0.07357594936708861,0.07357594936708861,3427.381157682239,5313.029675589387,2033.6458466939453,0.052742616033755275
COW00069,62,599.4,Jersey,Healthy,2.1,14.0,22.81,Mid,0,48.28037752640097,82.16538282403499,82.86224391791646,0.02335669002335669,0.02335669002335669,3966.9757023456714,6866.151467112283,1160.0714148508305,0.10343677010343677
COW00070,97,594.4,Brown Swiss,Healthy,4.1,23.0,20.47,Early,0,44.09021862327897,67.68282715030634,71.76735424996514,0.03869448183041723,0.03869448183041723,2984.150646098608,5150.553136039989,1650.6491477491982,0.16318977119784658
COW00071,32,574.8,Guernsey,Ketosis,3.5,17.3,20.97,Mid,1,50.27490154772996,65.0,79.93860724420844,0.030097425191370916,0.030097425191370916,3267.8686006024473,6390.1809281438145,1382.937905324806,0.055671537926235214
COW00072,61,628.5,Jersey,Healthy,3.9,25.6,25.03,Mid,0,21.21277478863071,88.28928131082056,39.3851697291114,0.040731901352426415,0.040731901352426415,1872.8606406964989,1551.1915945909127,1008.2603450652518,0.09705648369132856
COW00073,26,456.8,Ayrshire,Healthy,2.9,26.2,19.52,Early,0,36.02401005286774,40.0,53.86881206344129,0.05735551663747811,0.05735551663747811,1440.9604021147095,2901.8489131263577,1411.3628760621618,0.05691768826619965
COW00074,86,710.7,Guernsey,Healthy,2.4,23.0,24.01,Late,0,38.24941737826705,51.08948062478787,59.184077373208176,0.032362459546925564,0.032362459546925564,1954.1428680563986,3502.755014517892,1361.233779583788,0.12100745743633037
COW00075,63,473.2,Ayrshire,Healthy,3.3,23.8,21.25,Mid,0,47.97951508097442,62.79550171697538,75.87003703400484,0.05029585798816568,0.05029585798816568,3012.8977216469757,5756.262519541266,1805.7068814093152,0.13313609467455623
COW00076,47,609.9,Jersey,Healthy,4.8,19.7,17.74,Mid,0,42.0,48.78595925475515,63.46492475431242,0.0323003771110018,0.0323003771110018,2049.010288699716,4027.7966740705374,1250.2590176599547,0.07706181341203476
COW00077,36,415.0,Guernsey,Healthy,2.7,19.6,20.19,Early,0,36.091551871236874,94.37140775481082,65.74386436174075,0.047228915662650604,0.047228915662650604,3406.0105581444004,4322.2557012149655,1288.5797414901187,0.08674698795180723
COW00078,72,475.6,Jersey,Healthy,4.0,27.4,21.28,Mid,0,33.35245497310773,95.0,61.08679620293854,0.057611438183347345,0.057611438183347345,3168.483222445235,3731.596670339346,1673.7782159605158,0.15138772077375945
COW00079,84,671.3,Guernsey,Healthy,2.1,16.4,25.48,Early,0,19.380583065275957,93.58291046561152,36.56544104286337,0.024430210040220467,0.024430210040220467,1813.6913697690668,1337.031478659117,599.6732331029592,0.1251303441084463
COW00080,113,529.1,Guernsey,Mastitis,4.2,27.9,22.52,Mid,1,43.283777207813955,98.0,79.33312342990885,0.052731052731052726,0.052731052731052726,4241.810166365767,6293.744473145153,2213.394143694457,0.21357021357021355
COW00081,59,617.2,Jersey,Mastitis,2.7,25.8,21.88,Early,1,40.15417633468095,50.08744765696402,61.422950658860294,0.04180168502916396,0.04180168502916396,2011.2202053718352,3772.7788676407863,1584.7121269985957,0.09559300064808814
COW00082,29,569.0,Ayrshire,Healthy,3.4,29.9,23.31,Mid,0,33.56189842981971,98.0,62.02817920507909,0.05254833040421792,0.05254833040421792,3289.066046122332,3847.4950154974063,1854.6425582318648,0.050966608084358524
COW00083,101,541.6,Ayrshire,Bloat,3.1,18.7,20.75,Mid,1,38.670563174818206,54.58190248793312,60.583785665206044,0.03452732644017725,0.03452732644017725,2110.712908361385,3670.3950855276253,1132.916791939353,0.18648449039881831
COW00084,80,659.1,Ayrshire,Mastitis,2.3,23.1,23.73,Mid,1,35.907547135327846,55.3038171086836,57.02053224054791,0.03504779244424215,0.03504779244424215,1985.824419593607,3251.3410969953634,1317.1742947566568,0.12137763617053557
COW00085,87,531.1,Jersey,Foot and Mouth,3.0,14.7,20.77,Mid,1,38.12558926643625,62.09304790488849,61.632412922074344,0.027678403313876856,0.027678403313876856,2367.334040722929,3798.5543225970764,905.9964699544928,0.1638109583882508
COW00086,22,407.5,Guernsey,Mastitis,3.1,30.4,19.56,Mid,1,25.0,95.0,46.47,0.07460122699386502,0.07460122699386502,2375.0,2159.4609,1412.6879999999999,0.053987730061349694
COW00087,45,485.7,Holstein,Healthy,3.6,26.2,19.47,Mid,0,30.08610763273495,61.70552756833452,50.14808157590385,0.05394276302244184,0.05394276302244184,1856.479143955606,2514.8300857435074,1313.8797372886809,0.0926497838171711
COW00088,94,594.1,Holstein,Healthy,4.9,25.2,26.35,Mid,0,42.0,40.0,61.04,0.0424171014980643,0.0424171014980643,1680.0,3725.8815999999997,1538.2079999999999,0.1582225214610335
COW00089,101,581.6,Ayrshire,Healthy,3.4,27.2,27.0,Mid,0,46.33488859017553,91.76411852472292,82.7726798887673,0.046767537826685,0.046767537826685,4251.880208418699,6851.316535968343,2251.4168929744706,0.17365887207702888
COW00090,59,424.6,Holstein,Healthy,4.7,19.1,22.26,Early,0,44.74209144653188,71.19716649679421,73.79638252302237,0.044983513895430996,0.044983513895430996,3185.5101341335226,5445.906073484242,1409.5109061897274,0.1389543099387659
COW00091,98,492.1,Ayrshire,Healthy,3.4,24.9,24.8,Mid,0,27.497258335595717,95.0,50.840202087292504,0.050599471652103226,0.050599471652103226,2612.239541881593,2584.7261482767412,1265.9210319735832,0.19914651493598862
COW00092,102,503.5,Brown Swiss,Healthy,2.3,28.4,17.15,Early,0,34.824159320625675,63.190159217506014,57.165386250041,0.056405163853028795,0.056405163853028795,2200.5441720861327,3267.881385116377,1623.4969695011644,0.2025819265143992
COW00093,53,520.8,Jersey,Healthy,2.7,15.6,17.53,Mid,0,40.74964034748641,53.07725075668431,62.98537695870896,0.029953917050691246,0.029953917050691246,2162.8788789682367,3967.157710630666,982.5718805558598,0.10176651305683565
COW00094,108,439.9,Holstein,Bloat,3.2,31.3,19.28,Mid,1,37.36444950166516,42.77975584503265,56.115695029300305,0.07115253466696977,0.07115253466696977,1598.4420269652876,3148.971228621439,1756.4212544170996,0.2455103432598318
COW00095,43,499.7,Guernsey,Mastitis,3.0,30.1,20.61,Early,1,20.791176732633456,88.69206340133799,38.70140790590559,0.06023614168501101,0.06023614168501101,1844.0123649591496,1497.7989738992917,1164.9123779677584,0.08605163097858716
COW00096,37,491.7,Guernsey,Healthy,4.6,31.3,19.68,Mid,0,47.261468604184124,58.0,73.2688266737741,0.06365670124059386,0.06365670124059386,2741.165179042679,5368.320962151551,2293.3142748891296,0.07524913565182022
COW00097,85,611.7,Brown Swiss,Healthy,4.0,28.6,18.42,Mid,0,36.552152404122026,58.067451603260025,58.50491229964158,0.046754945234592116,0.046754945234592116,2122.4903407213405,3422.824763188753,1673.2404917697493,0.1389570050678437
COW00098,80,614.7,Ayrshire,Healthy,3.7,19.3,25.46,Mid,0,47.209467250846686,80.35868747949493,80.53283105247246,0.031397429640475025,0.031397429640475025,3793.6908248842396,6485.5368773260725,1554.2836393127186,0.13014478607450788
COW00099,27,538.3,Jersey,Bloat,3.5,24.5,25.64,Late,1,31.95054184678958,95.0,58.633448231881765,0.04551365409622887,0.04551365409622887,3035.30147544501,3437.8812515607588,1436.5194816811033,0.05015790451421141
COW00100,101,518.6,Brown Swiss,Mastitis,3.2,16.2,24.41,Early,1,26.40336886606349,81.79220861772284,47.340515596936235,0.031237948322406475,0.031237948322406475,2159.589854503753,2241.124416983763,766.916352670367,0.19475510991129966
COW00101,33,561.2,Jersey,Healthy,3.8,27.6,23.54,Early,0,24.209499096662427,86.60061337583898,44.26268566413699,0.04918032786885246,0.04918032786885246,2096.5574712927855,1959.1853422021982,1221.650124330181,0.058802565930149674
COW00102,98,484.7,Brown Swiss,Healthy,2.4,16.8,21.42,Early,0,42.0,41.794465567985746,61.535272496764065,0.03466061481328657,0.03466061481328657,1755.3675538554014,3786.589761251008,1033.7925779456364,0.20218691974417166
COW00103,12,458.3,Holstein,Healthy,2.5,29.6,16.28,Mid,0,29.53874460874378,69.9166112950756,50.61549291004462,0.06458651538293694,0.06458651538293694,2065.2489249540486,2561.9281225267773,1498.218590137321,0.026183722452542003
COW00104,98,474.8,Brown Swiss,Mastitis,2.9,18.3,20.92,Early,1,20.28809102050948,92.40485087449238,38.071354543263745,0.038542544229149114,0.038542544229149114,1874.7180252783064,1449.428036758889,696.7057881417265,0.20640269587194607
COW00105,96,499.2,Brown Swiss,Ketosis,2.5,16.9,26.33,Late,1,18.128309293812706,84.182187116614,34.04121974105368,0.033854166666666664,0.033854166666666664,1526.0807250795938,1158.804641458703,575.2966136238072,0.19230769230769232
COW00106,96,456.9,Brown Swiss,Healthy,4.0,15.3,19.67,Mid,0,41.36256764233131,83.16228409049536,71.9127412146726,0.0334865397242285,0.0334865397242285,3439.805600983887,5171.44234900847,1100.2649405844907,0.21011162179908077
COW00107,83,563.0,Brown Swiss,Healthy,2.1,26.8,20.81,Mid,0,49.0,76.51343781044223,82.073649482413,0.047602131438721135,0.047602131438721135,3749.1584527116693,6736.083939361993,2199.5738061286684,0.14742451154529307
COW00108,62,608.4,Guernsey,Healthy,2.5,17.4,25.11,Mid,0,36.991248998878845,54.60431545859278,58.328796068487065,0.028599605522682446,0.028599605522682446,2019.8818295421347,3402.248450799152,1014.9210515916749,0.10190664036817883
COW00109,88,423.0,Brown Swiss,Healthy,4.7,17.6,23.18,Mid,0,36.32621748007227,97.07216378598673,66.74522772838523,0.041607565011820336,0.041607565011820336,3526.26453295095,4454.925424514005,1174.7160080195802,0.20803782505910165
COW00110,41,552.0,Jersey,Ketosis,5.0,17.1,18.94,Mid,1,46.685740891329836,78.39684564545598,79.05959516513158,0.03097826086956522,0.03097826086956522,3660.0148225013377,6250.419587674497,1351.9190773237501,0.07427536231884058
COW00111,96,532.4,Jersey,Mastitis,3.5,19.5,20.81,Mid,1,49.0,69.13750830045961,79.52157787195904,0.036626596543951916,0.036626596543951916,3387.737906722521,6323.681347246045,1550.6707685032013,0.18031555221637868
COW00112,72,577.3,Guernsey,Healthy,3.5,30.9,20.84,Mid,0,40.21879772200621,46.487312398638046,60.57750333220644,0.053525030313528496,0.053525030313528496,1869.6638140005348,3669.6339099634824,1871.844852965179,0.12471851723540621
COW00113,61,549.0,Ayrshire,Healthy,4.3,22.8,21.78,Mid,0,41.499440689369195,98.0,76.15700442707717,0.041530054644808745,0.041530054644808745,4066.9451875581813,5799.889323305852,1736.3797009373595,0.1111111111111111
COW00114,66,433.7,Guernsey,Healthy,2.1,18.7,23.07,Mid,0,42.0,44.586018046802764,62.30574098091756,0.04311736223195757,0.04311736223195757,1872.6127579657161,3882.00535918119,1165.1173563431585,0.15217892552455614
COW00115,73,449.0,Guernsey,Healthy,3.3,17.1,18.55,Mid,0,25.40085273006398,89.72949404869263,46.59169167977939,0.03808463251670379,0.03808463251670379,2279.205663873994,2170.785733583624,796.7179277242276,0.16258351893095768
COW00116,16,552.4,Ayrshire,Healthy,2.3,14.3,22.5,Mid,0,24.686148086698957,88.51869266875677,45.25408228167742,0.02588703837798697,0.02588703837798697,2185.185555661923,2047.93196315683,647.1333766279871,0.02896451846488052
COW00117,27,632.3,Ayrshire,Foot and Mouth,3.2,20.6,21.64,Mid,1,30.585762976729917,95.0,56.245085209277356,0.032579471769729564,0.032579471769729564,2905.647482789342,3163.50961019887,1158.6487553111135,0.04270124940692709
COW00118,38,372.9,Brown Swiss,Mastitis,5.0,16.0,24.61,Mid,1,32.86679233621084,55.98945267992608,53.03288982555166,0.04290694556181282,0.04290694556181282,1840.193714249234,2812.487403249101,848.5262372088266,0.10190399570930544
COW00119,24,577.7,Holstein,Healthy,4.3,14.5,21.36,Early,0,20.742665453341292,76.09805225194741,37.820777233522904,0.025099532629392417,0.025099532629392417,1578.47643951303,1430.4111905477644,548.4012698860821,0.04154405400727021
