Cattle_ID,Age_Months,Weight_kg,Breed,Disease_Status,Body_Condition
COW00152,111,546.6,Holstein,Mastitis,5.0
COW00153,43,556.3,Holstein,Healthy,4.4
COW00154,58,495.8,Holstein,Healthy,2.5
COW00155,83,592.6,Brown Swiss,Healthy,4.9
COW00156,25,783.1,Brown Swiss,Healthy,3.0
COW00157,72,407.8,Holstein,Healthy,3.0
COW00158,66,575.9,Jersey,Healthy,4.1
COW00159,96,489.2,Jersey,Healthy,2.1
COW00160,119,596.2,Brown Swiss,Healthy,4.5
COW00161,83,553.7,Ayrshire,Healthy,5.0
COW00162,56,610.9,Guernsey,Healthy,4.3
COW00163,55,644.0,Ayrshire,Healthy,4.3
COW00164,57,565.4,Holstein,Healthy,3.2
COW00165,99,640.6,Jersey,Bloat,2.2
COW00166,46,362.5,Guernsey,Healthy,4.4
COW00167,30,677.2,Jersey,Foot and Mouth,3.8
COW00168,48,580.0,Ayrshire,Healthy,4.7
COW00169,14,636.2,Brown Swiss,Healthy,2.3
COW00170,23,452.4,Jersey,Healthy,2.9
COW00171,21,483.5,Ayrshire,Healthy,3.1
COW00172,95,561.7,Brown Swiss,Mastitis,4.0
COW00173,90,548.6,Ayrshire,Foot and Mouth,4.4
COW00174,87,572.6,Brown Swiss,Healthy,4.9
COW00175,61,636.8,Holstein,Healthy,2.9
COW00176,89,408.8,Guernsey,Healthy,3.5
COW00177,29,627.9,Holstein,Healthy,2.1
COW00178,109,550.7,Guernsey,Mastitis,2.8
COW00179,66,533.7,Brown Swiss,Healthy,3.1
COW00180,113,432.3,Guernsey,Healthy,3.8
COW00181,28,590.2,Ayrshire,Bloat,3.4
COW00182,65,356.9,Brown Swiss,Ketosis,3.1
COW00183,87,601.9,Ayrshire,Healthy,3.9
COW00184,65,430.6,Holstein,Healthy,4.5
COW00185,60,554.3,Holstein,Foot and Mouth,2.7
COW00186,29,540.5,Ayrshire,Healthy,3.0
COW00187,53,643.6,Brown Swiss,Healthy,4.1
COW00188,37,535.7,Brown Swiss,Healthy,4.3
COW00189,44,494.5,Holstein,Bloat,4.5
COW00190,85,509.5,Jersey,Bloat,2.6
COW00191,80,651.8,Guernsey,Mastitis,3.6
COW00192,77,592.9,Ayrshire,Healthy,4.7
COW00193,51,519.1,Ayrshire,Healthy,3.2
COW00194,115,531.1,Brown Swiss,Healthy,3.3
COW00195,21,424.6,Brown Swiss,Bloat,5.0
COW00196,48,581.1,Holstein,Healthy,2.3
COW00197,24,409.2,Holstein,Healthy,4.1
COW00198,48,610.1,Brown Swiss,Mastitis,4.6
COW00199,115,560.3,Brown Swiss,Healthy,2.5
COW00200,51,741.0,Holstein,Foot and Mouth,4.1
COW00201,110,462.0,Brown Swiss,Healthy,3.4
COW00202,65,541.8,Guernsey,Foot and Mouth,4.6
COW00203,87,693.9,Ayrshire,Healthy,4.7
COW00204,61,645.3,Ayrshire,Healthy,4.6
COW00205,40,494.3,Jersey,Healthy,2.2
COW00206,94,567.9,Jersey,Healthy,4.3
COW00207,116,550.2,Ayrshire,Healthy,4.8
COW00208,40,572.6,Guernsey,Healthy,3.9
COW00209,96,494.1,Jersey,Healthy,3.8
COW00210,40,542.9,Guernsey,Mastitis,2.1
COW00211,89,422.2,Holstein,Healthy,4.6
COW00212,97,560.8,Brown Swiss,Mastitis,2.1
COW00213,60,586.0,Jersey,Mastitis,2.9
COW00214,91,531.8,Ayrshire,Healthy,4.8
COW00215,41,420.8,Holstein,Mastitis,4.8
COW00216,20,629.1,Ayrshire,Healthy,5.0
COW00217,22,579.2,Jersey,Healthy,3.4
COW00218,60,491.9,Holstein,Healthy,2.5
COW00219,109,527.6,Guernsey,Foot and Mouth,3.5
COW00220,25,429.9,Guernsey,Healthy,2.3
COW00221,61,468.0,Holstein,Healthy,4.6
COW00222,88,507.0,Holstein,Ketosis,3.7
COW00223,33,648.3,Holstein,Healthy,3.2
COW00224,89,498.8,Brown Swiss,Bloat,2.2
COW00225,45,601.2,Holstein,Mastitis,3.2
COW00226,99,506.9,Guernsey,Bloat,4.6
COW00227,74,569.8,Holstein,Bloat,4.1
COW00228,71,538.7,Guernsey,Ketosis,2.2
COW00229,31,619.8,Ayrshire,Healthy,2.5
COW00230,62,507.2,Guernsey,Mastitis,3.2
COW00231,104,424.2,Ayrshire,Foot and Mouth,2.3
COW00232,14,439.4,Ayrshire,Healthy,4.8
COW00233,93,507.4,Holstein,Healthy,4.0
COW00234,65,450.1,Jersey,Ketosis,2.3
COW00235,89,582.8,Guernsey,Healthy,4.4
COW00236,83,512.7,Jersey,Healthy,3.1
COW00237,58,740.0,Guernsey,Healthy,2.7
COW00238,45,411.0,Guernsey,Healthy,3.7
COW00239,79,566.3,Ayrshire,Mastitis,2.0
COW00240,27,459.8,Jersey,Healthy,3.4
COW00241,75,510.5,Jersey,Mastitis,4.5
COW00242,22,561.3,Holstein,Foot and Mouth,4.8
COW00243,82,364.0,Jersey,Healthy,3.0
COW00244,79,568.9,Jersey,Mastitis,3.9
COW00245,21,702.2,Brown Swiss,Healthy,2.7
COW00246,93,513.7,Brown Swiss,Foot and Mouth,3.7
COW00247,56,570.8,Ayrshire,Ketosis,2.8
COW00248,96,632.0,Guernsey,Healthy,3.7
COW00249,16,536.9,Guernsey,Mastitis,2.5
COW00250,31,503.5,Holstein,Healthy,4.8
COW00251,65,367.9,Brown Swiss,Healthy,4.7
COW00252,32,601.3,Guernsey,Mastitis,3.0
COW00253,47,540.9,Jersey,Healthy,4.3
COW00254,83,469.0,Brown Swiss,Healthy,2.3
COW00255,27,560.1,Guernsey,Healthy,4.2
COW00256,85,503.3,Guernsey,Healthy,2.8
COW00257,23,507.7,Ayrshire,Foot and Mouth,2.4
COW00258,30,598.5,Brown Swiss,Healthy,4.0
COW00259,75,442.9,Jersey,Healthy,3.4
COW00260,97,633.8,Jersey,Healthy,3.6
COW00261,30,438.2,Guernsey,Foot and Mouth,3.6
COW00262,44,497.0,Brown Swiss,Healthy,2.2
COW00263,111,703.8,Brown Swiss,Healthy,2.2
COW00264,118,640.2,Holstein,Healthy,3.8
COW00265,74,557.8,Brown Swiss,Healthy,3.9
COW00266,60,474.8,Jersey,Ketosis,2.1
COW00267,49,507.7,Brown Swiss,Healthy,3.1
COW00268,78,555.9,Ayrshire,Healthy,3.8
COW00269,75,553.0,Guernsey,Mastitis,4.0
COW00270,43,542.7,Brown Swiss,Healthy,4.5
COW00271,14,547.5,Ayrshire,Healthy,3.3
COW00272,28,532.8,Ayrshire,Healthy,3.6
COW00273,115,434.6,Brown Swiss,Healthy,3.7
COW00274,57,508.7,Guernsey,Mastitis,2.9
COW00275,64,623.2,Jersey,Foot and Mouth,2.2
COW00276,62,440.5,Ayrshire,Bloat,2.0
COW00277,96,534.8,Jersey,Bloat,4.5
COW00278,19,484.4,Jersey,Healthy,2.6
COW00279,20,558.9,Holstein,Healthy,3.9
COW00280,41,518.9,Ayrshire,Healthy,3.7
COW00281,64,668.2,Jersey,Ketosis,3.2
COW00282,84,590.5,Ayrshire,Mastitis,4.5
COW00283,64,445.1,Holstein,Healthy,4.1
COW00284,59,603.7,Brown Swiss,Mastitis,2.1
COW00285,113,488.0,Brown Swiss,Mastitis,4.3
COW00286,29,503.8,Brown Swiss,Bloat,3.5
COW00287,73,575.1,Holstein,Mastitis,3.0
COW00288,70,510.7,Holstein,Healthy,4.2
COW00289,63,621.4,Jersey,Healthy,4.1
COW00290,99,488.0,Brown Swiss,Healthy,2.9
COW00291,40,500.5,Guernsey,Healthy,4.9
COW00292,115,497.5,Brown Swiss,Bloat,3.9
COW00293,47,504.7,Jersey,Healthy,3.8
COW00294,70,637.9,Jersey,Healthy,2.2
COW00295,68,600.3,Guernsey,Healthy,2.8
COW00296,103,686.8,Brown Swiss,Healthy,3.3
COW00297,59,731.4,Ayrshire,Healthy,3.9
COW00298,42,467.5,Brown Swiss,Healthy,3.5
COW00299,14,555.6,Brown Swiss,Foot and Mouth,4.3
COW00300,51,455.9,Holstein,Healthy,2.8
COW00301,101,487.8,Holstein,Healthy,4.1
COW00302,13,499.6,Ayrshire,Healthy,4.4
COW00303,108,465.4,Jersey,Healthy,4.3
COW00304,70,465.8,Brown Swiss,Mastitis,4.3
COW00305,27,538.5,Brown Swiss,Bloat,4.7
COW00306,44,452.7,Holstein,Healthy,2.3
COW00307,71,617.4,Brown Swiss,Ketosis,4.1
COW00308,46,476.6,Jersey,Mastitis,4.9
COW00309,23,774.8,Holstein,Healthy,3.7
COW00310,83,513.9,Brown Swiss,Healthy,2.7
COW00311,84,555.8,Brown Swiss,Healthy,5.0
COW00312,24,446.4,Holstein,Foot and Mouth,2.5
COW00313,42,686.5,Brown Swiss,Healthy,3.0
COW00314,38,639.6,Guernsey,Healthy,2.5
COW00315,83,573.8,Jersey,Mastitis,3.4
COW00316,90,442.3,Ayrshire,Foot and Mouth,3.3
COW00317,90,566.9,Guernsey,Mastitis,3.5
COW00318,113,460.3,Guernsey,Mastitis,4.8
COW00319,95,667.0,Holstein,Healthy,3.4
COW00320,46,614.7,Guernsey,Foot and Mouth,3.5
COW00321,23,557.6,Jersey,Healthy,4.7
COW00322,78,355.1,Guernsey,Healthy,4.5
COW00323,110,471.3,Ayrshire,Ketosis,2.7
COW00324,117,605.0,Jersey,Healthy,2.0
COW00325,36,647.0,Jersey,Healthy,3.9
COW00326,37,638.7,Holstein,Healthy,4.5
COW00327,16,422.6,Guernsey,Healthy,3.7
COW00328,27,574.1,Guernsey,Healthy,2.6
COW00329,71,631.2,Brown Swiss,Healthy,4.2
COW00330,71,417.3,Holstein,Mastitis,4.0
COW00331,52,549.4,Jersey,Mastitis,3.7
COW00332,45,571.9,Brown Swiss,Healthy,4.6
COW00333,101,525.9,Ayrshire,Healthy,4.4
COW00334,61,401.8,Holstein,Foot and Mouth,4.0
COW00335,99,523.9,Jersey,Healthy,4.0
COW00336,116,523.8,Guernsey,Healthy,4.0
COW00337,46,538.2,Jersey,Healthy,3.6
COW00338,33,504.9,Ayrshire,Healthy,3.4
COW00339,114,514.6,Ayrshire,Healthy,4.1
COW00340,80,546.8,Jersey,Mastitis,3.8
COW00341,43,585.4,Guernsey,Ketosis,3.5
COW00342,79,525.6,Guernsey,Healthy,2.4
COW00343,67,517.2,Guernsey,Healthy,4.1
COW00344,109,557.4,Holstein,Healthy,3.9
COW00345,39,396.3,Holstein,Healthy,3.0
COW00346,119,588.2,Jersey,Mastitis,3.1
COW00347,113,550.0,Holstein,Healthy,2.7
COW00348,31,553.2,Jersey,Bloat,4.9
COW00349,29,626.9,Guernsey,Healthy,4.6
COW00350,69,393.8,Brown Swiss,Healthy,3.7
COW00351,16,392.1,Jersey,Healthy,3.2
COW00352,44,571.9,Holstein,Healthy,4.2
COW00353,58,549.4,Jersey,Foot and Mouth,3.6
COW00354,116,563.6,Brown Swiss,Mastitis,4.9
COW00355,119,513.0,Guernsey,Healthy,2.2
COW00356,28,603.1,Jersey,Healthy,2.1
COW00357,108,624.6,Jersey,Mastitis,3.7
COW00358,21,588.7,Brown Swiss,Mastitis,2.6
COW00359,92,529.1,Holstein,Healthy,3.8
COW00360,103,381.4,Jersey,Healthy,4.3
COW00361,108,611.5,Holstein,Healthy,2.4
COW00362,36,647.7,Brown Swiss,Healthy,3.3
COW00363,108,601.6,Brown Swiss,Healthy,4.1
COW00364,24,479.6,Brown Swiss,Healthy,4.5
COW00365,68,603.9,Guernsey,Healthy,3.5
COW00366,62,618.8,Jersey,Healthy,2.6
COW00367,46,674.7,Ayrshire,Healthy,3.8
COW00368,14,479.9,Ayrshire,Bloat,3.4
COW00369,95,531.9,Holstein,Healthy,4.3
COW00370,48,609.8,Ayrshire,Healthy,3.7
COW00371,83,554.6,Holstein,Healthy,2.8
COW00372,56,460.6,Jersey,Healthy,4.3
COW00373,52,583.2,Brown Swiss,Foot and Mouth,3.6
COW00374,107,596.3,Holstein,Healthy,2.5
COW00375,22,557.0,Jersey,Healthy,3.7
COW00376,91,567.6,Holstein,Bloat,4.8
COW00377,92,529.3,Brown Swiss,Foot and Mouth,4.1
COW00378,53,668.3,Ayrshire,Foot and Mouth,2.9
COW00379,40,477.9,Ayrshire,Healthy,4.1
COW00380,12,503.0,Jersey,Healthy,2.8
COW00381,113,550.9,Brown Swiss,Mastitis,3.6
COW00382,114,620.3,Brown Swiss,Healthy,3.6
COW00383,38,430.2,Brown Swiss,Mastitis,2.7
COW00384,15,445.2,Guernsey,Mastitis,3.0
COW00385,25,387.0,Ayrshire,Healthy,4.8
COW00386,19,552.6,Brown Swiss,Healthy,2.8
COW00387,101,460.5,Holstein,Healthy,4.4
COW00388,108,519.2,Ayrshire,Healthy,4.0
COW00389,28,602.9,Ayrshire,Mastitis,3.6
COW00390,92,498.7,Jersey,Mastitis,2.4
COW00391,31,568.5,Brown Swiss,Healthy,2.6
COW00392,51,526.1,Ayrshire,Mastitis,2.5
COW00393,76,603.8,Brown Swiss,Healthy,3.8
COW00394,89,588.0,Brown Swiss,Mastitis,4.9
COW00395,106,494.6,Ayrshire,Healthy,4.6
COW00396,16,536.5,Ayrshire,Mastitis,2.1
COW00397,33,633.5,Brown Swiss,Mastitis,2.8
COW00398,42,581.5,Holstein,Healthy,2.5
COW00399,45,438.2,Brown Swiss,Healthy,4.9
COW00400,119,602.4,Guernsey,Foot and Mouth,2.7
COW00401,95,463.2,Jersey,Healthy,2.6
COW00402,46,663.0,Brown Swiss,Mastitis,3.9
COW00403,116,631.9,Guernsey,Ketosis,3.7
COW00404,65,573.2,Holstein,Foot and Mouth,2.7
COW00405,66,562.6,Brown Swiss,Healthy,4.0
COW00406,58,533.3,Guernsey,Healthy,2.3
COW00407,27,604.3,Jersey,Ketosis,2.1
COW00408,112,520.3,Brown Swiss,Healthy,2.2
COW00409,13,568.8,Guernsey,Healthy,3.1
COW00410,30,619.8,Holstein,Healthy,4.9
COW00411,36,505.1,Guernsey,Mastitis,3.6
COW00412,42,500.7,Jersey,Healthy,4.3
COW00413,26,454.5,Jersey,Healthy,3.0
COW00414,13,464.8,Guernsey,Healthy,4.2
COW00415,85,403.7,Holstein,Mastitis,4.9
COW00416,116,608.4,Holstein,Healthy,3.1
COW00417,25,694.7,Brown Swiss,Foot and Mouth,5.0
COW00418,44,664.0,Ayrshire,Mastitis,3.9
COW00419,66,419.9,Holstein,Ketosis,4.2
COW00420,112,608.0,Guernsey,Bloat,2.8
COW00421,86,663.8,Holstein,Healthy,3.9
COW00422,94,513.5,Brown Swiss,Mastitis,3.5
COW00423,74,558.1,Brown Swiss,Healthy,4.9
COW00424,57,389.4,Brown Swiss,Ketosis,4.7
COW00425,33,571.3,Holstein,Healthy,3.2
COW00426,105,464.9,Guernsey,Mastitis,4.8
COW00427,98,566.0,Jersey,Foot and Mouth,4.7
COW00428,14,425.1,Guernsey,Healthy,3.8
COW00429,89,593.4,Guernsey,Foot and Mouth,2.2
COW00430,21,632.0,Brown Swiss,Healthy,2.5
COW00431,91,487.3,Jersey,Healthy,2.2
COW00432,101,459.0,Guernsey,Healthy,2.3
COW00433,26,377.5,Ayrshire,Healthy,4.9
COW00434,58,528.7,Ayrshire,Healthy,2.6
COW00435,25,503.5,Ayrshire,Bloat,4.1
COW00436,73,425.9,Jersey,Healthy,3.9
COW00437,112,586.2,Brown Swiss,Healthy,3.9
COW00438,20,514.0,Jersey,Foot and Mouth,2.6
COW00439,54,463.9,Ayrshire,Mastitis,3.7
COW00440,117,505.6,Ayrshire,Healthy,3.9
COW00441,44,635.7,Ayrshire,Bloat,3.7
COW00442,26,598.2,Holstein,Healthy,2.6
COW00443,64,539.6,Jersey,Healthy,4.2
COW00444,66,599.5,Guernsey,Healthy,2.2
COW00445,83,457.1,Guernsey,Mastitis,3.8
COW00446,45,552.6,Jersey,Healthy,3.3
COW00447,115,561.8,Holstein,Healthy,2.8
COW00448,68,512.4,Holstein,Mastitis,4.4
COW00449,42,584.8,Guernsey,Healthy,2.5
COW00450,115,487.6,Brown Swiss,Healthy,4.8
COW00451,111,590.8,Brown Swiss,Mastitis,4.7
COW00452,65,594.1,Ayrshire,Mastitis,3.1
COW00453,14,316.6,Holstein,Healthy,2.9
COW00454,76,645.2,Guernsey,Healthy,2.4
COW00455,71,306.2,Jersey,Ketosis,4.7
COW00456,28,500.7,Ayrshire,Healthy,3.9
COW00457,80,632.0,Ayrshire,Healthy,2.1
COW00458,102,524.6,Brown Swiss,Healthy,3.5
COW00459,23,432.7,Jersey,Healthy,2.3
COW00460,90,462.5,Jersey,Ketosis,3.7
COW00461,27,632.2,Holstein,Healthy,3.5
COW00462,92,396.3,Ayrshire,Healthy,2.2
COW00463,57,640.3,Holstein,Healthy,4.4
COW00464,12,545.6,Brown Swiss,Healthy,2.8
COW00465,116,454.6,Brown Swiss,Healthy,3.6
COW00466,29,503.4,Guernsey,Ketosis,3.9
COW00467,76,468.6,Ayrshire,Mastitis,4.9
COW00468,31,619.3,Brown Swiss,Healthy,3.5
COW00469,112,608.6,Guernsey,Healthy,4.8
COW00470,91,412.5,Brown Swiss,Healthy,3.1
COW00471,98,517.7,Brown Swiss,Healthy,4.6
COW00472,58,480.9,Holstein,Healthy,2.7
COW00473,62,653.5,Jersey,Healthy,4.1
COW00474,80,442.0,Brown Swiss,Mastitis,2.3
COW00475,96,678.3,Holstein,Bloat,5.0
COW00476,103,547.3,Jersey,Healthy,4.9
COW00477,13,457.0,Brown Swiss,Bloat,3.3
COW00478,83,495.8,Brown Swiss,Healthy,3.6
COW00479,23,485.9,Ayrshire,Healthy,3.8
COW00480,43,448.0,Ayrshire,Foot and Mouth,2.8
COW00481,101,557.6,Guernsey,Healthy,4.0
COW00482,39,451.8,Holstein,Healthy,4.1
COW00483,98,375.6,Brown Swiss,Mastitis,3.6
COW00484,62,519.6,Guernsey,Healthy,2.4
COW00485,37,405.8,Brown Swiss,Foot and Mouth,4.8
COW00486,48,489.8,Brown Swiss,Healthy,2.3
COW00487,69,477.3,Brown Swiss,Foot and Mouth,3.9
COW00488,94,480.3,Brown Swiss,Healthy,2.3
COW00489,77,710.1,Brown Swiss,Healthy,2.4
COW00490,112,554.5,Holstein,Healthy,2.1
COW00491,105,569.6,Brown Swiss,Foot and Mouth,3.1
COW00492,93,407.9,Jersey,Healthy,3.9
COW00493,77,497.7,Guernsey,Foot and Mouth,3.6
COW00494,43,567.2,Ayrshire,Healthy,4.0
COW00495,56,468.0,Brown Swiss,Healthy,4.0
COW00496,24,622.6,Jersey,Healthy,2.4
COW00497,52,453.8,Ayrshire,Healthy,2.2
COW00498,112,527.1,Guernsey,Bloat,3.9
COW00499,57,503.1,Brown Swiss,Healthy,4.0
COW00500,24,563.1,Holstein,Mastitis,3.7
COW00501,82,498.8,Holstein,Healthy,2.7
COW00502,115,528.3,Jersey,Healthy,4.4
COW00503,105,531.1,Jersey,Healthy,2.2
COW00504,41,491.2,Guernsey,Bloat,3.9
COW00505,61,588.8,Brown Swiss,Mastitis,2.4
COW00506,69,569.1,Ayrshire,Healthy,4.0
COW00507,38,542.9,Brown Swiss,Healthy,3.3
COW00508,41,515.6,Ayrshire,Healthy,4.2
COW00509,37,613.7,Brown Swiss,Healthy,2.2
COW00510,119,531.1,Jersey,Healthy,3.7
COW00511,92,525.5,Guernsey,Healthy,2.4
COW00512,102,558.4,Brown Swiss,Mastitis,4.0
COW00513,100,685.7,Jersey,Ketosis,2.4
COW00514,115,442.8,Brown Swiss,Ketosis,2.2
COW00515,23,611.6,Guernsey,Foot and Mouth,4.1
COW00516,107,398.5,Jersey,Healthy,2.2
COW00517,19,567.4,Guernsey,Mastitis,2.7
